question,expected,date,attempts
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:58:04.785818+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:58:04.785878+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:58:04.785920+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:58:04.785964+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:58:04.786028+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:58:04.786067+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:58:04.786105+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:58:04.786144+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:58:04.786181+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:58:04.786218+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:58:04.786255+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:58:04.786292+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:58:04.786329+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:58:04.786366+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:58:04.786423+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:58:04.786474+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:58:04.786533+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:58:04.786592+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:58:04.786633+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:58:04.786673+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T11:58:04.786712+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T11:58:04.786758+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T11:58:04.786812+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.098048+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.098112+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.098169+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.098223+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.098277+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.098332+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.098385+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.098434+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.098486+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.098533+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.098585+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.098669+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.098730+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.098783+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.098834+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.098876+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.098917+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.098957+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.099001+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.099040+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.099085+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.099134+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.099181+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.099234+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.099277+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.099316+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.099355+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.099392+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.099433+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.099499+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.099539+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.099579+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.099619+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.099657+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.099694+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.099734+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.099772+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.099811+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.099851+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.099889+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.099927+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.099966+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.100005+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.100043+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.100082+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:00:46.100120+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:00:46.100159+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:00:46.100198+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.922039+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.922097+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.922146+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.922193+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.922247+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.922294+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.922339+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.922393+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.922445+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.922489+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.922540+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.922592+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.922644+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.922695+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.922746+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.922797+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.922848+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.922899+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.922944+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.922996+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.923085+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.923136+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.923197+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.923251+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.923306+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.923352+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.923430+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.923498+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.923566+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.923617+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.923668+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.923718+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.923787+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.923855+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.923906+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.923957+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.924007+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.924058+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.924111+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.924155+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.924221+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.924276+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.924330+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.924398+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.924449+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.924500+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.924550+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.924602+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.924649+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.924715+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.924768+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.924818+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.924864+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.924931+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.924981+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925027+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.925089+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.925129+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925191+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.925227+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.925265+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925304+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.925343+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.925380+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925418+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.925456+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.925493+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925531+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.925566+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.925603+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925641+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.925679+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.925717+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925755+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.925793+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.925827+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925862+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.925904+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.925945+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.925986+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.926025+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.926066+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.926107+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.926150+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.926191+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.926232+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.926271+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.926308+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.926345+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.926383+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.926420+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.926458+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.926496+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:03:43.926533+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:03:43.926568+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:03:43.926606+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.487831+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.487924+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.487981+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.488032+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.488081+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.488127+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.488188+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.488237+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.488287+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.488334+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.488384+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.488433+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.488481+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.488531+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.488587+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.488639+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.488689+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.488740+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.488790+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.488848+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.488889+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.488950+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.489+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.489053+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.489095+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.489145+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.489197+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.489249+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.489299+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.489350+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.489399+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.489456+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.489504+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.489552+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.489602+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.489650+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.489697+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.489745+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.489795+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.489854+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.489891+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.489930+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.489967+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490005+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490043+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490080+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490118+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490156+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490193+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490230+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490268+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490305+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490342+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490379+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490416+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490454+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490492+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490528+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490565+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490603+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490639+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490679+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490720+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490760+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490798+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490836+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490872+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.490909+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.490946+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.490983+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.491021+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.491058+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.491095+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.491133+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.491175+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.491215+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.491256+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.491295+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.491342+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.491380+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.491419+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.491460+00:00",0
"Посчитай интеграл x^2 от 0 до 2","8/3","2025-10-27T12:09:07.491503+00:00",0
"Упростите выражение: (x+2)*(x-2)","x^2 - 4","2025-10-27T12:09:07.491547+00:00",0
"Сравни рост функций: x^2 и 2^x","2^x растет быстрее","2025-10-27T12:09:07.491589+00:00",0
